date,dji
24MAR1899,71.98
27MAR1899,73.73
28MAR1899,74.7
29MAR1899,74.17
30MAR1899,74.33
03APR1899,76.02
04APR1899,76.04
05APR1899,75.87
06APR1899,74.17
07APR1899,73.08
10APR1899,72.6
11APR1899,74.49
12APR1899,75.1
13APR1899,75.33
14APR1899,76.04
17APR1899,75.96
18APR1899,76.36
19APR1899,76.29
20APR1899,76.05
21APR1899,76.71
24APR1899,76.53
25APR1899,77.28
26APR1899,77.14
27APR1899,77.03
28APR1899,77.1
01MAY1899,74.59
02MAY1899,76.04
03MAY1899,76
04MAY1899,75.39
05MAY1899,74.48
08MAY1899,72.18
09MAY1899,69.98
10MAY1899,72.47
11MAY1899,71.88
12MAY1899,72.18
15MAY1899,69.77
16MAY1899,70.96
17MAY1899,72.75
18MAY1899,71.84
19MAY1899,71.81
22MAY1899,71.71
23MAY1899,71.01
24MAY1899,70.27
25MAY1899,70.76
26MAY1899,70.29
31MAY1899,67.51
01JUN1899,68.4
02JUN1899,70.11
05JUN1899,69.73
06JUN1899,70.09
07JUN1899,70.71
08JUN1899,71.03
09JUN1899,72.29
12JUN1899,73.08
13JUN1899,71.88
14JUN1899,71.92
15JUN1899,71.71
16JUN1899,71.62
19JUN1899,70.43
20JUN1899,70.3
21JUN1899,69.39
22JUN1899,68.84
23JUN1899,69.82
26JUN1899,69.85
27JUN1899,70.44
28JUN1899,70.54
29JUN1899,70.18
30JUN1899,70.38
05JUL1899,71.48
06JUL1899,71.92
07JUL1899,72.15
10JUL1899,70.55
11JUL1899,71.35
12JUL1899,71.55
13JUL1899,71.67
14JUL1899,71.02
17JUL1899,70.9
18JUL1899,71.37
19JUL1899,71.07
20JUL1899,71.57
21JUL1899,72.08
24JUL1899,71.75
25JUL1899,72.19
26JUL1899,71.99
27JUL1899,72.48
28JUL1899,72.95
31JUL1899,73.73
01AUG1899,73.89
02AUG1899,74.29
03AUG1899,74.61
04AUG1899,74.68
07AUG1899,73.68
08AUG1899,74.23
09AUG1899,74.59
10AUG1899,75.37
11AUG1899,75.19
14AUG1899,76.23
15AUG1899,75.63
16AUG1899,75.15
17AUG1899,75.62
18AUG1899,75.64
21AUG1899,75.73
22AUG1899,75.1
23AUG1899,76
24AUG1899,75.61
25AUG1899,75.59
28AUG1899,75.64
29AUG1899,75.26
30AUG1899,76.04
31AUG1899,75.66
01SEP1899,75.57
05SEP1899,77.61
06SEP1899,76.97
07SEP1899,76.61
08SEP1899,76.56
11SEP1899,75.59
12SEP1899,74.68
13SEP1899,76.11
14SEP1899,75.65
15SEP1899,74.55
18SEP1899,72.39
19SEP1899,73.1
20SEP1899,72.55
21SEP1899,73.1
22SEP1899,74.22
25SEP1899,72.76
26SEP1899,72.4
27SEP1899,72.64
28SEP1899,72.87
02OCT1899,70.95
03OCT1899,70.97
04OCT1899,71.73
05OCT1899,72.03
06OCT1899,72.3
09OCT1899,72.67
10OCT1899,73.47
11OCT1899,73
12OCT1899,72.45
13OCT1899,71.81
16OCT1899,72.47
17OCT1899,72.22
18OCT1899,72.93
19OCT1899,72.86
20OCT1899,73.11
23OCT1899,74.61
24OCT1899,74.31
25OCT1899,74.41
26OCT1899,74.52
27OCT1899,74.42
30OCT1899,74.37
31OCT1899,74.97
01NOV1899,75.17
02NOV1899,75.72
03NOV1899,75.34
06NOV1899,75.13
08NOV1899,75.13
