"Overnight accommodation; guests, country of residence, type, region "
"Periods: 2018 February*"
"";"";"";"";"Regions"
"Country of residence";"Topic";"Type of accommodation";"";"Nederland";"Groningen (PV)";"Friesland (PV)";"Drenthe (PV)";"Overijssel (PV)";"Flevoland (PV)";"Gelderland (PV)";"Utrecht (PV)";"Noord-Holland (PV)";"Zuid-Holland (PV)";"Zeeland (PV)";"Noord-Brabant (PV)";"Limburg (PV)"
"Italy";"Guests";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Italy";"Guests";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Italy";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Italy";"Overnight stays";"Total overnight accommodation";"x 1 000";"91";"0";"0";"0";"0";"0";"1";"2";"72";"8";"0";"4";"2"
"Italy";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"89";"0";"0";"0";"0";"0";"1";"2";"71";"7";"0";"4";"2"
"Italy";"Overnight stays";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Italy";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Italy";"Overnight stays";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Italy";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Spain";"Guests";"Total overnight accommodation";"x 1 000";"33";"0";"0";"0";"0";"0";"1";"1";"24";"3";"0";"2";"1"
"Spain";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"32";"0";"0";"0";"0";"0";"0";"1";"24";"3";"0";"2";"1"
"Spain";"Guests";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Spain";"Guests";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Spain";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Spain";"Overnight stays";"Total overnight accommodation";"x 1 000";"71";"0";"0";"0";"0";"0";"1";"2";"55";"6";"0";"3";"2"
"Spain";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"69";"0";"0";"0";"0";"0";"0";"2";"54";"5";"0";"3";"1"
"Spain";"Overnight stays";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Spain";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Spain";"Overnight stays";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Spain";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Denmark";"Guests";"Total overnight accommodation";"x 1 000";"9";"0";"0";"0";"0";"0";"1";"0";"5";"2";"0";"1";"0"
"Denmark";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"0";"5";"1";"0";"1";"0"
"Denmark";"Guests";"Total Leisure accommodation";"x 1 000";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Denmark";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Denmark";"Guests";"Holiday park";"x 1 000";"1";".";".";".";".";".";".";".";".";".";".";".";"."
"Denmark";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Denmark";"Overnight stays";"Total overnight accommodation";"x 1 000";"18";"0";"0";"0";"0";"0";"1";"0";"8";"3";"0";"2";"0"
"Denmark";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"15";"0";"0";"0";"0";"0";"0";"0";"8";"2";"0";"1";"0"
"Denmark";"Overnight stays";"Total Leisure accommodation";"x 1 000";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Denmark";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Denmark";"Overnight stays";"Holiday park";"x 1 000";"3";".";".";".";".";".";".";".";".";".";".";".";"."
"Denmark";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Sweden";"Guests";"Total overnight accommodation";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"1";"6";"1";"0";"1";"0"
"Sweden";"Guests";"Hotel/boarding house/youth hostel";"x 1 000";"9";"0";"0";"0";"0";"0";"0";"1";"6";"1";"0";"1";"0"
"Sweden";"Guests";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sweden";"Guests";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Sweden";"Guests";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Sweden";"Guests";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Sweden";"Overnight stays";"Total overnight accommodation";"x 1 000";"17";"0";"0";"0";"0";"0";"0";"1";"10";"2";"0";"1";"0"
"Sweden";"Overnight stays";"Hotel/boarding house/youth hostel";"x 1 000";"16";"0";"0";"0";"0";"0";"0";"1";"10";"2";"0";"1";"0"
"Sweden";"Overnight stays";"Total Leisure accommodation";"x 1 000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sweden";"Overnight stays";"Campsite";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Sweden";"Overnight stays";"Holiday park";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Sweden";"Overnight stays";"Group accommodation";"x 1 000";"0";".";".";".";".";".";".";".";".";".";".";".";"."
"Other countries Euro-zone";"Guests";"Total overnight accommodation";"x 1 000";"61";"1";"0";"0";"1";"0";"1";"2";"44";"5";"1";"3";"3"
